StudentID,Name,StudyHours,Attendance,AssignmentsScore,Participation,PreviousGrade,Marks
1,Student 1,11,57,41,5,66,65.0
2,Student 2,12,56,83,9,46,81.4
3,Student 3,1,51,45,4,64,40.6
4,Student 4,1,85,52,9,88,58.2
5,Student 5,10,67,91,1,55,71.1
6,Student 6,6,67,49,4,78,55.8
7,Student 7,7,56,62,6,68,66.8
8,Student 8,12,79,74,2,83,76.0
9,Student 9,5,90,79,6,59,69.1
10,Student 10,1,92,54,5,45,51.8
11,Student 11,2,74,57,8,81,56.0
12,Student 12,6,63,82,5,44,61.4
13,Student 13,3,84,86,4,55,58.1
14,Student 14,5,90,84,9,63,75.2
15,Student 15,1,64,92,1,75,49.2
16,Student 16,2,63,98,10,75,64.3
17,Student 17,8,75,96,8,53,74.4
18,Student 18,4,97,75,9,68,74.0
19,Student 19,7,87,65,6,63,74.5
20,Student 20,3,82,71,2,41,52.9
21,Student 21,3,90,50,7,43,53.4
22,Student 22,10,79,73,5,36,71.9
23,Student 23,2,93,96,9,69,72.8
24,Student 24,6,57,58,7,55,59.0
25,Student 25,12,96,56,9,57,85.4
26,Student 26,2,90,59,9,60,56.8
27,Student 27,3,84,89,9,35,63.6
28,Student 28,8,51,47,6,74,60.8
29,Student 29,4,86,100,2,45,61.5
30,Student 30,2,98,74,3,51,55.7
31,Student 31,9,60,56,9,89,81.6
32,Student 32,9,98,86,4,74,79.1
33,Student 33,11,91,63,8,92,84.9
34,Student 34,4,54,61,1,64,48.2
35,Student 35,1,54,85,1,64,40.3
36,Student 36,1,71,44,9,65,49.8
37,Student 37,8,63,74,3,95,68.3
38,Student 38,8,76,52,2,47,59.6
39,Student 39,6,77,66,8,41,65.5
40,Student 40,11,56,43,7,78,76.4
41,Student 41,2,65,52,4,92,49.2
42,Student 42,3,67,69,4,44,48.9
43,Student 43,9,56,43,9,36,67.7
44,Student 44,4,60,66,8,96,63.5
45,Student 45,7,53,50,7,35,60.5
46,Student 46,5,100,90,8,71,75.9
47,Student 47,12,100,75,8,54,84.7
48,Student 48,4,53,77,9,42,60.4
49,Student 49,1,53,77,8,55,47.1
50,Student 50,9,55,94,3,43,66.4
51,Student 51,11,65,65,2,66,70.5
52,Student 52,1,89,45,7,75,59.1
53,Student 53,4,92,85,6,65,65.1
54,Student 54,3,92,81,5,93,66.4
55,Student 55,2,50,69,10,47,48.9
56,Student 56,4,82,56,3,79,61.7
57,Student 57,4,73,58,3,91,62.2
58,Student 58,12,69,79,9,36,82.0
59,Student 59,9,69,99,2,52,67.1
60,Student 60,2,97,75,3,69,55.5
